Brand,Model,accelSec,topSpeedMPH,rangeMiles,efficiencyWhperMi,OneHourFastChargeMiles,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceUSD
Smart,EQ fortwo coupe,11.6,80.78,62.14,103.77,0.0,FALSE,RWD,Type 2,Hatchback,A,2,23311.83
Ford,Mustang Mach-E SR RWD,6.6,111.85,223.69,120.55,236.12,TRUE,RWD,Type 2 CCS,SUV,D,5,51121
Mercedes,EQV 300 Long,10.0,86.99,205.05,169.63,180.2,TRUE,FWD,Type 2 CCS,SPV,N,7,76987.79
Fiat,500e Hatchback,9.0,93.21,155.34,104.39,205.05,TRUE,FWD,Type 2 CCS,Hatchback,B,4,38041
Tesla,Cybertruck Single Motor,7.0,111.85,242.33,159.07,459.81,TRUE,RWD,Type 2 CCS,Pickup,N,6,49050
Audi,e-tron Sportback 50 quattro,6.8,118.06,183.3,136.08,292.04,TRUE,AWD,Type 2 CCS,SUV,E,5,75810.59
Skoda,Enyaq iV vRS,6.2,111.85,248.55,119.92,335.54,TRUE,AWD,Type 2 CCS,SUV,C,5,51775
Skoda,Enyaq iV 60,9.0,99.42,198.84,112.47,273.4,TRUE,RWD,Type 2 CCS,SUV,C,5,40875
Audi,e-tron S 55 quattro,4.5,130.49,198.84,167.77,316.9,TRUE,AWD,Type 2 CCS,SUV,E,5,102242
Smart,EQ fortwo cabrio,11.9,80.78,59.03,109.36,0.0,FALSE,RWD,Type 2,Cabrio,A,2,26775.85
Kia,e-Soul 64 kWh,7.9,103.77,226.8,108.74,198.84,TRUE,FWD,Type 2 CCS,SUV,B,5,40152.33
Nissan,Ariya e-4ORCE 87kWh,5.7,124.27,260.98,128.62,310.69,TRUE,AWD,Type 2 CCS,Hatchback,C,5,62675
Fiat,500e Convertible,9.0,93.21,155.34,104.39,205.05,TRUE,FWD,Type 2 CCS,Cabrio,B,4,41311
Volkswagen,ID.3 Pro Performance,7.3,99.42,211.27,106.25,292.04,TRUE,RWD,Type 2 CCS,Hatchback,C,5,38776.75
Kia,e-Soul 39 kWh,9.9,97.56,142.92,105.63,136.7,TRUE,FWD,Type 2 CCS,SUV,B,5,36114.97
Byton,M-Byte 72 kWh 2WD,7.5,118.06,201.95,137.94,260.98,TRUE,RWD,Type 2 CCS,SUV,E,5,58315
Nissan,Ariya 63kWh,7.5,99.42,205.05,118.68,273.4,TRUE,FWD,Type 2 CCS,Hatchback,C,5,49050
Audi,e-tron S Sportback 55 quattro,4.5,130.49,208.16,160.31,335.54,TRUE,AWD,Type 2 CCS,SUV,E,5,104694.5
Nissan,Ariya e-4ORCE 63kWh,5.9,124.27,201.95,120.55,273.4,TRUE,AWD,Type 2 CCS,Hatchback,C,5,54500
Nissan,Ariya e-4ORCE 87kWh Performance,5.1,124.27,233.01,144.16,279.62,TRUE,AWD,Type 2 CCS,Hatchback,C,5,70850
Byton,M-Byte 95 kWh 2WD,7.5,118.06,248.55,147.89,298.26,TRUE,AWD,Type 2 CCS,SUV,E,5,67580
